sid,schid,condition,tch_experience,sex,freelunch,race,content_area,score
1,63,small.class,7,girl,no,white,math,473
1,63,small.class,7,girl,no,white,reading,447
2,20,small.class,21,girl,no,black,math,536
2,20,small.class,21,girl,no,black,reading,450
3,19,regular.with.aide,0,boy,yes,black,math,463
3,19,regular.with.aide,0,boy,yes,black,reading,439
4,69,regular,16,boy,no,white,math,559
4,69,regular,16,boy,no,white,reading,448
5,79,small.class,5,boy,yes,white,math,489
5,79,small.class,5,boy,yes,white,reading,447
6,5,regular,8,boy,yes,white,math,454
6,5,regular,8,boy,yes,white,reading,431
7,16,regular.with.aide,17,girl,yes,black,math,423
7,16,regular.with.aide,17,girl,yes,black,reading,395
8,56,regular,3,girl,no,white,math,500
8,56,regular,3,girl,no,white,reading,451
9,11,small.class,11,girl,no,black,math,439
9,11,small.class,11,girl,no,black,reading,478
10,66,small.class,10,girl,no,white,math,528
10,66,small.class,10,girl,no,white,reading,455
11,38,regular,13,boy,no,white,math,473
11,38,regular,13,boy,no,white,reading,430
12,69,regular.with.aide,6,boy,no,white,math,468
12,69,regular.with.aide,6,boy,no,white,reading,437
13,43,small.class,0,boy,no,white,math,559
13,43,small.class,0,boy,no,white,reading,474
14,71,small.class,6,boy,no,white,math,494
14,71,small.class,6,boy,no,white,reading,424
15,52,regular.with.aide,18,boy,no,white,math,528
15,52,regular.with.aide,18,boy,no,white,reading,490
16,54,regular,13,boy,no,white,math,484
16,54,regular,13,boy,no,white,reading,439
17,12,regular.with.aide,12,girl,yes,white,math,459
17,12,regular.with.aide,12,girl,yes,white,reading,424
18,21,regular,1,girl,yes,black,math,528
18,21,regular,1,girl,yes,black,reading,437
19,76,small.class,8,girl,no,white,math,478
19,76,small.class,8,girl,no,white,reading,422
20,79,regular,13,boy,yes,white,math,559
20,79,regular,13,boy,yes,white,reading,424
21,8,regular,13,boy,no,white,math,454
21,8,regular,13,boy,no,white,reading,431
22,66,regular.with.aide,3,boy,no,white,math,473
22,66,regular.with.aide,3,boy,no,white,reading,451
23,59,small.class,14,boy,yes,white,math,602
23,59,small.class,14,boy,yes,white,reading,456
24,31,regular.with.aide,11,girl,yes,black,math,459
24,31,regular.with.aide,11,girl,yes,black,reading,421
